Feature,Importance
PubchemFP755,0.017777874023832383
PubchemFP696,0.014985998031955484
SCH-5,0.01352295579570065
nF9HeteroRing,0.013003142765847995
nF9Ring,0.012658318657340238
nF10HeteroRing,0.012488618984986452
PubchemFP779,0.011898695684393636
SRW7,0.01161054306922702
PubchemFP600,0.01110941549589286
JGI7,0.010976585957015629
PubchemFP143,0.0105949372032426
n5Ring,0.010528450254457259
minHBint7,0.010034748597993625
PubchemFP187,0.009992842104699785
JGI8,0.009972494501349287
SHBint7,0.009412785181852255
SCH-6,0.009020802145931867
AATSC8i,0.008899030338286183
PubchemFP633,0.00863646105932881
PubchemFP494,0.00857300653679644
SRW9,0.008557867871412774
PubchemFP673,0.0083572007930841
3d-RDF95m,0.008256553709027208
AATSC6i,0.008233133545400196
MATS4v,0.008177002472306192
ATSC4i,0.008136243713330193
PubchemFP697,0.008101122318438958
3d-RDF30p,0.008068634400862534
MATS8i,0.007946339392291484
ATSC4v,0.00793810584092729
PubchemFP615,0.007763148577846208
SRW5,0.0077572507550426086
SCH-7,0.0076624380231780425
PubchemFP758,0.007600406951358688
nHBint7,0.007471098724662163
3d-RDF35m,0.007384524790339886
PubchemFP377,0.007306682491365874
AATSC4v,0.007244979517154769
VCH-5,0.007158515529406256
GATS8i,0.007157882821271054
PubchemFP146,0.007148318206991664
PubchemFP717,0.007123713308215357
GATS6c,0.007116194426746796
nHBint2,0.007100857775551648
PubchemFP533,0.006966298336331745
PubchemFP515,0.006947250287769932
3d-RDF30u,0.006778711324067239
PubchemFP577,0.006776160478826954
PubchemFP258,0.006768433889611843
PubchemFP737,0.0066931570971452735
PubchemFP451,0.006597905118548318
GATS6i,0.006583044170544889
VR2_Dzp,0.006582101703189144
3d-RDF30m,0.006527836446430041
GATS4i,0.006492040715034205
GATS2s,0.006479650885054328
SpMin2_Bhm,0.006445244316247264
SpMin1_Bhp,0.006222209420068524
ATSC8i,0.006207369691159275
PubchemFP580,0.006142694816906038
PubchemFP502,0.0060779410124016196
MATS6i,0.006064142642833613
SpMin1_Bhv,0.0060410247205600325
PubchemFP440,0.00603036873724151
PubchemFP797,0.005836912426624324
VCH-6,0.005817811754273842
SsNH2,0.005791603376014648
3d-RDF80p,0.005777548948091862
maxHBint7,0.005756281921748944
PubchemFP659,0.005731699361265473
topoShape,0.005696087555691155
ATS6p,0.005637664026534001
JGI9,0.005634225066289626
3d-RDF60u,0.005608532487676345
minaaO,0.005605163517415172
PubchemFP392,0.005599615589387732
PubchemFP409,0.005512485757981229
3d-RDF60e,0.00547584557532953
MATS4c,0.0054575973216806
C3SP2,0.005417504078164523
PubchemFP335,0.005397270663856261
SaaO,0.005357542551115312
AATSC4c,0.005311388614418778
C3SP3,0.005300114206193821
BIC2,0.005272763153049554
SpMin2_Bhi,0.005253917201700443
GATS7m,0.005238795774308055
PubchemFP566,0.0052166845175869
PubchemFP671,0.005184238833986175
GATS7e,0.005177764089453016
PubchemFP612,0.005166515826940478
nHBint3,0.005159263501304638
3d-RDF80u,0.005135007003532383
minHBint3,0.0051248195031430265
3d-RDF70s,0.005110803233907634
3d-E2m,0.00510918996241571
ATSC5s,0.005105729509945816
maxHsNH2,0.005078765385811228
PubchemFP553,0.005074714528659474
3d-TDB5u,0.004994068716452632
PubchemFP652,0.004984450383182684
AATSC5m,0.004957715147042364
GATS4v,0.004953414090523748
PubchemFP461,0.004914885914562931
3d-RDF30e,0.004856690228137344
naasN,0.004855912716389721
PubchemFP439,0.004817331338462877
PubchemFP643,0.0048139201876395395
MATS6s,0.004811213732213805
PubchemFP193,0.0047988835989350425
n6HeteroRing,0.004787247976548984
maxaaN,0.004767805222525816
SpMin1_Bhi,0.004758402266793045
GATS5c,0.004739815437861997
PubchemFP356,0.0047263841061229205
3d-RDF140p,0.0046783306733554735
PubchemFP714,0.004674353987955722
MDEN-13,0.0046638936539136104
PubchemFP620,0.0046329701705619805
PubchemFP667,0.004611338990609253
3d-RDF80v,0.0046095778156488906
3d-RDF105m,0.004599692607834667
PubchemFP346,0.004588921621869672
AATS6e,0.004551446592119691
PubchemFP430,0.004541785539782466
PubchemFP493,0.004495438294235386
GATS8c,0.004475296729558388
AATS6m,0.0044724708835740664
3d-RDF80i,0.0044572857059582156
VPC-5,0.004457135101914622
PubchemFP144,0.004453264656059234
BCUTw-1l,0.004398404831326924
PubchemFP547,0.004392712866660891
PubchemFP492,0.004387886621110363
PubchemFP516,0.004366667372296847
VR1_Dzm,0.004365199320310413
SIC2,0.004355512291177968
ATSC2s,0.00434222036919731
ATSC6i,0.004313966237550592
VR1_Dzp,0.00430510435453906
3d-RDF75p,0.004300020994249342
3d-RDF30v,0.00429789927676952
ATSC5e,0.004279916079924878
ETA_EtaP_F,0.004276833640273775
nF10Ring,0.004274921196700444
ATSC4m,0.004235959350377395
3d-RDF70u,0.004208438494502866
PubchemFP648,0.0041804949567482656
minHBint5,0.004171222994986069
SpMax2_Bhm,0.004171109051773677
maxaaO,0.00416449425827979
AATSC2s,0.0041473657848786274
naaO,0.004145057154669053
VC-5,0.0041444596890095895
ETA_Beta_ns_d,0.004141231026766643
ATS5i,0.004126582409357047
PubchemFP592,0.004116053737529876
maxHCsats,0.004101687113658379
PubchemFP647,0.004099075788123015
VPC-6,0.004093905264448001
GATS5p,0.004064296535620007
ndsN,0.004059660163944226
VR1_Dzs,0.004057008416984887
PubchemFP186,0.0040375455575446485
PubchemFP539,0.004031406385187348
PubchemFP19,0.004028346477345702
PubchemFP767,0.004011262221093964
SpMin6_Bhm,0.003995479815142272
mindsN,0.00398825703825964
3d-RDF110u,0.003982005969192075
VCH-7,0.0039719714697174615
ATSC7c,0.003964716641199628
PubchemFP352,0.003962783388619367
SaaN,0.003961282546933832
3d-TDB6e,0.003959927393909614
PubchemFP665,0.0039579733949591306
BIC3,0.003905732308059984
PubchemFP397,0.0039027115428087785
maxdsN,0.003893865240596174
nFG12HeteroRing,0.0038652004372354744
3d-RDF70p,0.003859802443561456
3d-geomShape,0.003857899771866375
ATSC8m,0.0038553173970124767
SpMax8_Bhp,0.0038506285629878747
AATSC6s,0.003842740060736003
maxHBint9,0.00383826989739123
BCUTc-1l,0.0038111506235407925
3d-TDB5e,0.003802971468668819
maxHBint4,0.0037966780247800473
PubchemFP192,0.0037780354830818695
3d-RDF110e,0.0037703264775248322
ATSC3p,0.0037618692461349234
minHssNH,0.003748031968673796
AATS4p,0.003732426327840023
GGI9,0.0037280792552705925
PubchemFP708,0.0037184977266927505
MATS4i,0.0037032178377381804
GGI7,0.003692506779204878
SpMin8_Bhi,0.003681819884047503
PubchemFP431,0.0036796258281150207
MATS1c,0.0036741794895020744
GATS6m,0.00367220852125095
SaasN,0.0036576316489274245
nFRing,0.00365697190585244
PubchemFP842,0.003655907856462801
SsCl,0.0036495895758626006
AATS4v,0.0036387357498104587
XLogP,0.0036386825883941145
PubchemFP623,0.0036359979381073246
ATS5p,0.0036191559419992956
AATS7e,0.0036084925582693475
3d-RDF115i,0.003606121688043946
GATS8s,0.0035749997038344184
PubchemFP391,0.0035708527672991233
SHBint8,0.0035486154939091893
PubchemFP750,0.0035401951317036123
3d-RDF20e,0.0035204339281766192
