y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test,Relative_Error_%
7.4814677,7.8013053,7.753548,7.593038,7.9289513,7.7116623,7.886056647693163,-2.211426610328856
5.2851853,5.3308353,5.1675363,5.297995,5.4618635,5.308683,5.769551078621726,-7.987937948600979
7.237749,7.53892,7.103492,7.485972,7.3793826,7.349103,7.244125144327507,1.4491443413658327
5.1057343,5.5046735,5.491929,5.5025473,5.3875437,5.3984857,5.3872161432802645,0.20918999670675892
6.6727996,6.334927,6.6092587,6.6109877,6.591924,6.563979,6.008773924307505,9.239908699364605
6.160149,5.863636,5.5264583,6.6170855,6.35865,6.1051955,6.853871964321762,-10.923408635450034
7.2744346,7.46055,7.2561235,7.1445527,7.341845,7.2955008,7.0,4.221439361572266
7.858526,7.908301,8.032992,8.065669,8.061763,7.9854507,8.698970004336019,-8.20234187899783
4.620396,4.676025,4.714501,4.882316,4.9740667,4.7734613,4.8124792791635365,-0.8107658244797278
4.3922644,4.6637416,4.869735,4.5163426,4.494044,4.5872254,4.158640529545145,10.3058897390691
5.083431,5.4596343,5.051331,5.2988105,5.4807973,5.274801,5.091514981121351,3.5998282828107215
4.204587,4.62502,4.767703,4.700849,4.329175,4.525467,5.4089353929735005,-16.333500214771675
5.484791,6.0686407,6.272035,5.4765353,5.9673557,5.8538713,6.136677139879544,-4.608451575881271
6.5357957,5.7421527,6.1533146,5.845997,6.146443,6.0847406,4.97469413473523,22.31386440920877
7.532144,7.7973046,7.535982,7.9153633,7.881711,7.732501,8.0,-3.3437371253967285
6.8791704,7.331579,6.950017,7.2249856,7.2522984,7.12761,7.585026652029182,-6.030518631108669
7.243892,7.441748,6.5190587,7.409314,7.2552547,7.173854,7.045757490560675,1.8180640451715964
6.614371,6.488581,6.9254255,6.7971926,6.9593997,6.756994,7.481486060122113,-9.683801903801482
5.702217,5.3056784,5.2655864,5.4326167,5.509468,5.4431133,6.721246399047171,-19.016310311164858
7.3345447,7.430451,6.686369,7.6248055,7.492556,7.313745,7.494850021680094,-2.4163925807207507
5.1771474,5.0109715,4.8306017,4.8764987,4.668957,4.912835,5.177178354696896,-5.105932526011796
5.431505,5.242392,4.991017,5.0724454,5.5174446,5.2509604,4.774690718274138,9.974879209236743
5.533198,5.1809607,5.0929914,5.3700824,5.6362624,5.362699,5.522878745280337,-2.900293865538647
6.494859,5.8690734,6.5413785,6.06356,6.0874496,6.2112646,6.221848749616356,-0.17011244971973044
4.9947267,5.0882616,5.332613,5.46927,5.035994,5.184173,5.0617305165370885,2.418986751864769
5.2569547,5.127568,5.0387464,5.216849,5.172451,5.1625137,5.301029995663981,-2.6130065830060474
