y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test,Relative_Error_%
7.8647094,7.5369077,7.4721384,7.1346416,7.7875195,7.5591836,7.886056647693163,-4.144949303960212
5.46392,5.2942452,5.503187,5.6837616,5.3227973,5.4535823,5.769551078621726,-5.476488334730024
7.2980156,7.409103,7.3618593,7.250291,7.7171044,7.4072747,7.244125144327507,2.2521640015181905
5.5627027,5.4881263,5.3976574,4.96277,5.530093,5.38827,5.3872161432802645,0.01956034373494783
6.2002535,6.570621,6.1877832,5.9533725,6.441788,6.2707634,6.008773924307505,4.360115328177962
6.902622,6.527986,6.5613613,6.15015,6.6519785,6.55882,6.853871964321762,-4.3048979473892315
7.262891,7.498817,7.2169456,7.115431,7.116826,7.2421823,7.0,3.4597464970179965
7.8335595,7.9641705,7.6121063,7.396597,8.061784,7.7736435,8.698970004336019,-10.637196245330701
4.9975324,5.3320885,5.2344084,4.505933,4.622484,4.938489,4.8124792791635365,2.618394257782212
4.336838,4.7005205,4.7637243,4.9639688,4.8598037,4.724971,4.158640529545145,13.618159203645238
5.45644,5.2602086,5.2169323,5.5057616,5.214364,5.330741,5.091514981121351,4.698521921580677
4.5353084,4.60652,4.8151073,4.8955603,4.766315,4.7237625,5.4089353929735005,-12.667425860855092
6.0197115,6.1359086,6.101305,6.546373,5.8729134,6.1352425,6.136677139879544,-0.02337873882948229
5.9566383,5.815368,6.116045,6.3327956,5.957166,6.035603,4.97469413473523,21.3261133840236
7.6794434,7.692617,7.627201,7.6220512,7.5610185,7.636466,8.0,-4.544174671173096
7.2102265,7.3606377,7.22717,7.4321847,7.5003347,7.3461103,7.585026652029182,-3.1498413790300965
7.4356346,7.280789,7.208459,7.158637,7.467311,7.3101664,7.045757490560675,3.7527387046930345
7.300946,7.57235,6.892928,6.57646,7.005281,7.069593,7.481486060122113,-5.505498561165782
5.729226,5.3194566,5.2331457,6.745811,5.6194415,5.729417,6.721246399047171,-14.756631328956674
7.038213,7.198767,7.155304,7.4343166,7.180341,7.2013884,7.494850021680094,-3.915510807572975
5.0192304,5.1704693,4.8707333,4.8696327,5.0192714,4.989867,5.177178354696896,-3.6180160596317545
5.2872796,5.305908,5.3289156,5.585686,5.357045,5.372967,4.774690718274138,12.530152912177261
5.644315,5.500591,5.6276712,5.9971275,5.4425683,5.642454,5.522878745280337,2.1650919307383822
6.195817,6.2104435,5.941411,6.6577334,5.8380547,6.168692,6.221848749616356,-0.8543543854331027
5.013256,4.923384,5.050727,5.664932,5.1693754,5.164335,5.0617305165370885,2.0270588713687734
4.6852894,4.790279,4.908675,6.2166758,4.9334965,5.106883,5.301029995663981,-3.6624381829862274
5.9616776,5.860253,5.9231834,6.2375903,6.025019,6.0015445,5.501689446210399,9.08548245465444
5.382943,5.6820393,5.4823465,5.310808,5.5775084,5.487129,5.049148541111453,8.674347105223344
7.590537,7.4906793,7.5418787,7.2145844,7.7369766,7.5149317,8.148741651280925,-7.778010392676054
4.9703517,4.822184,4.904812,5.5523105,5.1132874,5.072589,5.039291448311444,0.6607570255333137
4.8702316,5.039723,5.080845,4.5909057,4.9634295,4.909027,4.931814138253839,-0.46204171539464656
5.966793,5.26427,5.8072214,6.826506,5.4658985,5.8661375,4.6777807052660805,25.404286224314582
4.366238,4.623194,4.833064,4.3231916,4.578643,4.544866,4.721246399047171,-3.7358845331664425
7.8383746,7.8907723,7.8288603,7.730255,7.912425,7.8401375,8.0,-1.998281478881836
5.5377283,5.4505124,5.1979637,5.5962286,5.4131947,5.4391255,5.120617362825658,6.220112780910809
7.751707,7.934608,7.82279,7.3208675,7.6313677,7.6922684,7.638272163982407,0.7069165177726794
7.7289615,7.9997287,7.84912,7.8931828,7.588656,7.81193,7.769551078621726,0.5454510890703763
5.557843,5.8899813,5.9986897,6.065903,5.742881,5.85106,5.375047895336878,8.855958636412154
7.127282,7.1252637,7.1053705,7.0177503,7.528768,7.1808867,7.1249387366083,0.7852419636553115
5.698059,5.8549027,5.5318823,6.364587,5.860126,5.861911,5.229147988357856,12.10068701551854
7.4811425,7.438211,7.5301113,6.702854,7.3863835,7.3077407,7.744727494896693,-5.642378080580188
5.693972,5.839112,5.5488224,5.9448414,5.675175,5.740384,5.903089986991944,-2.756283327592953
6.1263275,6.492187,6.610034,6.8841248,7.2148337,6.6655016,6.119186408,8.927905608974823
4.8192964,4.821077,5.2249937,4.5606694,5.0170264,4.8886127,4.657577319177793,4.960420668987935
7.4285393,7.3487096,7.047551,7.230032,7.563303,7.3236265,7.638272163982407,-4.1193301178318675
7.2284355,7.000594,7.2693996,6.6434216,7.5168943,7.131749,7.251811972993799,-1.6556251086447598
