Feature,Importance
PubchemFP461,0.009317931121203804
PubchemFP755,0.006299952245437923
maxsBr,0.004837380085289289
nFG12HeteroRing,0.0039275677309804965
nFG12Ring,0.00386091515556185
PubchemFP193,0.0038607637859658485
PubchemFP494,0.0037634768156898923
JGI7,0.0031616132310907097
maxHBint6,0.0029327450465315486
PubchemFP737,0.0029223205322670086
3d-E2m,0.0027310445245917526
PubchemFP779,0.0026967888082232495
PubchemFP696,0.0026134841599914525
AATSC8i,0.0024590957081735755
nBr,0.002451451641307023
PubchemFP759,0.0023031614578849615
3d-RDF85p,0.0022735128946011485
GATS8i,0.002254100804444792
ATSC8i,0.002247630121753652
3d-RDF85v,0.002130036187746265
3d-RDF20m,0.0020853508661488386
3d-TDB9e,0.0020541329815949804
PubchemFP750,0.0019284644886481627
VE2_Dt,0.0019065073306239523
PubchemFP705,0.0018879017413051314
3d-E2p,0.0018812483119586166
BCUTw-1l,0.0018674103340643677
ATSC8c,0.0018502087290492852
3d-RDF95m,0.0017815185460441363
maxHdsCH,0.0017530174558467392
PubchemFP752,0.0017364681719451824
SHBint6,0.0017298898689184438
3d-Du,0.0016647471483210662
CIC3,0.0016336219445454714
GGI7,0.0015974168240186603
3d-RDF20i,0.0015885936804840074
ALogp2,0.0015795806652436517
PubchemFP629,0.001575674876526678
ATSC2i,0.0015599391140203144
GATS6e,0.0015588325561535332
ATSC6e,0.0015386026220304827
nHBint6,0.001529230816241678
nHeteroRing,0.001492216951435632
nHBint8,0.001483569303361254
3d-RDF125m,0.0014712114610692217
PubchemFP258,0.0014668668992940392
nHBAcc,0.001463061101690366
maxHBint9,0.0014573805719045652
PubchemFP656,0.0014573250637802682
GATS2s,0.0014205249508663976
3d-RDF85e,0.0014117940867441115
3d-RDF15v,0.0013976297152207828
minsssCH,0.0013931782759442513
MPC5,0.0013928804547561069
minsF,0.0013833575732143388
PubchemFP797,0.0013689464826430963
ETA_EtaP_B_RC,0.001356701030325802
3d-RDF50m,0.001354818722957485
maxdsCH,0.0013445023414819014
SdsCH,0.001344406517046115
SpMin1_Bhv,0.001330894958032991
SHBint9,0.0013303468823099185
CIC4,0.001327853692539549
3d-TDB9i,0.0013203647771648618
ATSC2e,0.0013169477255886354
PubchemFP577,0.001312033747285468
PubchemFP703,0.001309001665997167
BIC2,0.001303312627809272
3d-RDF85i,0.0012908511464712947
PubchemFP702,0.0012762276817138486
3d-Dp,0.0012606812565924218
SpMin8_Bhv,0.0012530319154420266
ATSC3v,0.0012480296259561817
PubchemFP767,0.001239685196992224
PubchemFP287,0.001231920181946944
AATS8m,0.0012243621312448161
3d-RDF35e,0.0012152705752193405
3d-DPSA-1,0.0012124357315621114
3d-E1v,0.001194108378680958
AATS0m,0.0011923939982219523
PubchemFP440,0.001183100530084824
AATSC7i,0.001179291010039485
minHdsCH,0.0011774265020657038
SsOm,0.001162728288984638
ALogP,0.0011613672484306003
3d-RDF135p,0.0011524663609319918
BIC3,0.0011466165004874295
VE3_Dt,0.0011371194924341243
ATSC2s,0.0011363574886881888
maxsF,0.0011347796660303388
3d-RDF15s,0.0011292876825591102
CIC2,0.0011232335328426601
PubchemFP534,0.001108362544564312
3d-RDF85m,0.0011054038507084974
PubchemFP404,0.0010933477529956992
SIC4,0.0010932382201885194
3d-RDF60e,0.001081866521904884
PubchemFP489,0.0010694475348196231
PubchemFP719,0.0010678668872697306
3d-RDF75s,0.0010661258049555976
3d-TDB8v,0.0010627760955126853
3d-RDF70m,0.0010596413045813712
3d-E1e,0.0010581064914733762
maxHBint3,0.0010530402528898697
3d-Ds,0.0010485453278675672
mindsCH,0.0010485391091562435
