y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test,Relative_Error_%
7.5768075,7.4623337,7.6233225,7.782342,7.301756,7.5493116,7.886056647693163,-4.270131763677478
5.42797,5.365056,4.7650347,5.6556897,5.3177576,5.306302,5.769551078621726,-8.029203688317368
7.3712573,7.457806,7.85281,7.4385695,7.352472,7.494583,7.244125144327507,3.4573945171478186
5.2591267,4.9722075,5.1940827,5.6165085,5.346261,5.2776375,5.3872161432802645,-2.034049844602842
6.0730906,6.7052336,6.3506923,6.595438,6.2485104,6.3945932,6.008773924307505,6.420932446173304
6.0037584,5.704099,6.4023137,6.2863164,6.1589046,6.1110783,6.853871964321762,-10.837577735027983
7.24799,7.549761,7.903784,7.5707088,7.3557286,7.525594,7.0,7.508489063807897
7.9874396,7.9555182,7.6872807,7.964496,8.084756,7.935898,8.698970004336019,-8.771983083137732
4.6821046,4.920713,4.947685,4.959049,4.782048,4.8583198,4.8124792791635365,0.9525335600681821
4.481571,4.4017463,4.856316,4.5607886,4.507782,4.5616407,4.158640529545145,9.6906719162825
5.351547,5.319042,5.0687113,5.444037,5.2204943,5.2807665,5.091514981121351,3.7169979210892956
4.6812387,4.531723,4.91852,4.419523,4.4643936,4.60308,5.4089353929735005,-14.89859905117277
5.5502133,6.231149,5.8517456,6.206331,5.8528204,5.9384522,6.136677139879544,-3.230166612260514
5.7982955,6.467095,6.096271,6.2960763,6.174759,6.166499,4.97469413473523,23.95735236909435
7.7062,7.6400375,7.2694273,7.961974,7.743758,7.66428,8.0,-4.196500778198242
7.179446,7.4649086,7.1365128,7.4528565,7.1677084,7.2802863,7.585026652029182,-4.017656811322934
7.4133635,6.798646,7.108449,6.505001,6.617646,6.888621,7.045757490560675,-2.2302305656577204
6.4657044,6.714277,6.8435855,6.89264,6.7123427,6.7257094,7.481486060122113,-10.101958564443313
5.294461,5.475097,5.448279,5.1854115,5.371392,5.354928,6.721246399047171,-20.328348363753896
7.1583505,7.1815543,6.496044,7.056244,7.1820393,7.014847,7.494850021680094,-6.404440629682949
4.9811745,4.74321,5.6723685,5.4101105,4.9922614,5.1598253,5.177178354696896,-0.33518315375297275
5.066067,5.067205,5.4795604,5.501934,5.2250924,5.267972,4.774690718274138,10.331167049849041
5.3809905,4.939927,5.420327,5.5334573,5.4372983,5.3424,5.522878745280337,-3.2678369306847683
6.147286,6.278729,6.338814,6.484545,6.088249,6.2675242,6.221848749616356,0.734114483055913
5.175427,4.8846593,5.224171,5.2387466,5.070054,5.118612,5.0617305165370885,1.123751963258976
4.962003,5.247611,5.646329,5.01476,4.8573837,5.1456175,5.301029995663981,-2.9317417698959525
5.7671957,6.4295516,5.578896,6.1282954,6.20008,6.020804,5.501689446210399,9.435546794129113
