"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL81294";"";"None";"364.41";"0";"3.39";"5";"CCc1nc(N)nc(N)c1-c1ccc(NCc2ccccc2)c([N+](=O)[O-])c1";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"21.19";"0.39";"4.33";"5.81";"0";"CHEMBL884350";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii was evaluated using 90 uM dihydrofolic acid as substrate";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130351";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL7375";"";"None";"314.39";"0";"2.01";"5j";"COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"24.42";"0.46";"5.67";"7.97";"0";"CHEMBL665602";"The ability to inhibit Toxoplasma gondii Dihydrofolate reductase was tested";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132605";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL285448";"";"None";"360.41";"0";"2.26";"3h";"COc1ccc(OCCCCCC(=O)O)cc1Cc1cnc(N)nc1N";"IC50";"'='";"480.0";"nM";"6.32";"";"";"UO_0000065";"17.53";"0.33";"4.06";"4.73";"0";"CHEMBL662241";"Inhibition of partially purified dihydrofolate reductase (DHFR) from Toxoplasma gondii (Tg)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1135399";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";""
"CHEMBL342086";"";"None";"369.43";"0";"3.02";"4b";"Nc1nc(N)c2nc(CN3c4ccccc4CCc4ccccc43)cnc2n1";"IC50";"'='";"910.0";"nM";"6.04";"";"";"UO_0000065";"16.35";"0.29";"3.02";"5.65";"0";"CHEMBL665587";"Inhibitory activity against DHFR (Dihydrofolate reductase) from Toxoplasma gondii.";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132186";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL22";"TRIMETHOPRIM";"4.0";"290.32";"0";"1.26";"3, TMP";"COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC";"IC50";"'='";"7.2";"nM";"8.14";"";"";"UO_0000065";"28.05";"0.53";"6.88";"7.72";"0";"CHEMBL665586";"Inhibitory activity against recombinant Dihydrofolate reductase from Toxoplasma gondii (tgDHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1131583";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL114833";"";"None";"355.40";"0";"2.43";"101";"COc1cc(OC)c(OC)cc1CNc1ccc2nc(N)nc(N)c2c1";"IC50";"'='";"124.0";"nM";"6.91";"";"";"UO_0000065";"19.43";"0.36";"4.48";"5.88";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL367802";"";"None";"329.41";"0";"3.58";"102";"CN(Cc1cccc2ccccc12)c1ccc2nc(N)nc(N)c2c1";"IC50";"'='";"209.99";"nM";"6.68";"";"";"UO_0000065";"20.27";"0.36";"3.10";"8.24";"0";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL138452";"";"None";"342.36";"0";"1.96";"158";"COc1cc(Nc2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC";"IC50";"'='";"2399.94";"nM";"5.62";"";"";"UO_0000065";"16.41";"0.31";"3.66";"4.31";"0";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL115474";"";"None";"265.32";"0";"2.41";"2";"Nc1nc(N)c2cc(NCc3ccccc3)ccc2n1";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"22.06";"0.40";"3.44";"6.52";"0";"CHEMBL665586";"Inhibitory activity against recombinant Dihydrofolate reductase from Toxoplasma gondii (tgDHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1131583";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL37334";"";"None";"340.38";"0";"1.85";"3";"COc1ccc(C#CCCCC(=O)O)cc1Cc1cnc(N)nc1N";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"22.02";"0.41";"5.64";"6.03";"0";"CHEMBL664919";"Inhibitory activity against Dihydrohydrofolate reductase(DHFR) of Toxoplasma gondii";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1136782";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL54538";"";"None";"330.39";"0";"2.98";"68";"CN(Cc1ccc2nc(N)nc(N)c2n1)c1cccc2ccccc12";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"23.44";"0.42";"4.76";"8.24";"1";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL53974";"";"None";"310.36";"0";"1.83";"69";"COc1ccccc1N(C)Cc1ccc2nc(N)nc(N)c2n1";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"24.44";"0.45";"5.76";"7.35";"1";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL141260";"";"None";"312.33";"0";"1.95";"157";"COc1ccc(OC)c(Nc2ccc3nc(N)nc(N)c3n2)c1";"IC50";"'='";"729.96";"nM";"6.14";"";"";"UO_0000065";"19.65";"0.36";"4.19";"5.06";"0";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL54792";"";"None";"310.36";"0";"1.83";"66";"COc1cccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)c1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"25.21";"0.46";"5.99";"7.58";"1";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL55526";"";"None";"318.81";"0";"2.75";"4b";"CCc1nc(N)nc(N)c1-c1ccc(Cl)c(/N=C/N(C)C)c1";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"18.18";"0.36";"3.05";"6.20";"0";"CHEMBL664912";"Inhibitory concentration against Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130062";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL119";"TRIMETREXATE";"4.0";"369.43";"0";"2.74";"Trimetrexate";"COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"21.65";"0.40";"5.26";"6.81";"1";"CHEMBL664917";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii (tgDHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1131583";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL120826";"";"None";"295.39";"0";"1.81";"18";"Nc1nc(N)c2c(n1)CCC(CN1CCc3ccccc31)C2";"IC50";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"25.62";"0.47";"5.76";"9.34";"0";"CHEMBL665604";"Inhibitory activity against purified DHFR (Dihydrofolate reductase) from Toxoplasma gondii.";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1128550";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";""
"CHEMBL357973";"";"None";"366.43";"0";"1.76";"6";"COc1cc(CN2CCc3nc4nc(N)nc(N)c4cc3C2)cc(OC)c1";"IC50";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"15.20";"0.28";"3.81";"4.95";"0";"CHEMBL665701";"Inhibitory activity against Toxoplasma gondii (tg) Dihydrofolate reductase (DHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1135650";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";""
"CHEMBL23288";"";"None";"356.39";"0";"1.83";"2";"COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"18.30";"0.34";"4.69";"5.00";"0";"CHEMBL665591";"Inhibitory concentration against Dihydrofolate reductase from Toxoplasma gondii (tg)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1129937";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL309792";"";"None";"384.39";"0";"2.18";"5a";"COc1ccc(C(=O)OCc2ccc3nc(N)nc(N)c3c2)c(OC)c1OC";"IC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"17.83";"0.33";"4.67";"5.20";"0";"CHEMBL665597";"Inhibitory concentration against dihydrofolate reductase DHFR from Toxoplasma gondii";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1134533";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";""
"CHEMBL286700";"";"None";"266.31";"0";"1.80";"9";"Nc1nc(N)c2cc(NCc3ccccc3)cnc2n1";"IC50";"'='";"520.0";"nM";"6.28";"";"";"UO_0000065";"23.60";"0.43";"4.48";"6.12";"0";"CHEMBL665616";"Inhibitory activity against Toxoplasma gondii dihydrofolate reductase (in 90 uM dihydrofolic acid)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1129539";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL223569";"";"None";"342.40";"0";"2.13";"38(S)";"COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"23.03";"0.43";"5.76";"7.47";"0";"CHEMBL919380";"Inhibition of Toxoplasma gondii DHFR-TS";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1142238";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";""
"CHEMBL22";"TRIMETHOPRIM";"4.0";"290.32";"0";"1.26";"2";"COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC";"Activity";"'='";"0.33";"";"";"";"";"";"";"";"";"";"0";"CHEMBL919382";"Ligand efficiency at Toxoplasma gondii DHFR-TS";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1142238";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";""
"CHEMBL89528";"";"None";"314.78";"0";"2.48";"8";"CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)cc1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"24.86";"0.49";"5.34";"8.33";"0";"CHEMBL664909";"Concentration inhibiting Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1128717";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";""
"CHEMBL422395";"";"None";"477.48";"0";"1.19";"PDDF";"C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"16.22";"0.30";"6.55";"4.33";"0";"CHEMBL914521";"Inhibition of Toxoplasma gondii thymidylate synthase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1139472";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL6696";"";"None";"192.27";"0";"1.16";"9a";"CCC1CCc2nc(N)nc(N)c2C1";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"30.99";"0.58";"4.80";"7.66";"0";"CHEMBL665602";"The ability to inhibit Toxoplasma gondii Dihydrofolate reductase was tested";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132605";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL6899";"";"None";"345.40";"0";"1.23";"22";"COc1cc(CN2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"19.39";"0.37";"5.47";"6.16";"0";"CHEMBL665602";"The ability to inhibit Toxoplasma gondii Dihydrofolate reductase was tested";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132605";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL317618";"";"None";"227.23";"0";"0.58";"16";"Nc1nc(N)c2[nH]c(-c3ccncc3)nc2n1";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"20.68";"0.38";"4.12";"3.94";"0";"CHEMBL664911";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130150";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL114058";"";"None";"355.40";"0";"2.43";"9";"COc1cc(OC)c(CNc2ccc3nc(N)nc(N)c3c2)c(OC)c1";"IC50";"'='";"750.0";"nM";"6.12";"";"";"UO_0000065";"17.23";"0.32";"3.69";"5.21";"0";"CHEMBL665585";"Inhibition of recombinant Dihydrofolate reductase from Toxoplasma gondii (tgDHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1131583";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL55727";"";"None";"330.40";"0";"2.98";"39";"CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc2ccccc2c1";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"23.60";"0.43";"4.82";"8.30";"0";"CHEMBL665702";"Inhibitory activity against Toxoplasma gondii dihydrofolate reductase.";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1129583";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL283518";"";"None";"340.39";"0";"2.13";"16";"COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC";"IC50";"'='";"8.8";"nM";"8.06";"";"";"UO_0000065";"23.67";"0.44";"5.93";"6.65";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL279983";"";"None";"340.39";"0";"2.13";"17";"COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1";"IC50";"'='";"56.49";"nM";"7.25";"";"";"UO_0000065";"21.29";"0.40";"5.12";"5.98";"1";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL23569";"";"None";"340.39";"0";"2.13";"18";"COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1";"IC50";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"24.44";"0.45";"6.19";"6.86";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL142741";"";"None";"370.41";"0";"1.85";"25";"COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC";"IC50";"'='";"8.999";"nM";"8.05";"";"";"UO_0000065";"21.72";"0.41";"6.20";"6.61";"0";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL23844";"";"None";"382.47";"0";"2.93";"13";"CCOc1ccc(OCC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"18.30";"0.34";"4.07";"6.23";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL1099117";"";"None";"306.32";"0";"1.25";"11a";"COc1cc(COc2cc(N)nc(N)n2)cc(OC)c1OC";"Activity";"'='";"145.27";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1108182";"Inhibition of Toxoplasma gondii DHFR by continuous spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1157930";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL78951";"";"None";"192.18";"0";"-0.92";"18d";"Nc1nc(N)c2nc(CO)cnc2n1";"Inhibition";"'='";"12.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL665608";"Inhibitory activity against dihydrofolate reductase DHFR from Toxoplasma gondii at 51 uM concentration";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1134533";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";""
"CHEMBL610181";"";"None";"296.33";"0";"2.96";"1a";"COc1ccccc1/C(C)=C/c1coc2nc(N)nc(N)c12";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"18.22";"0.34";"2.44";"5.39";"0";"CHEMBL1038908";"Inhibition of Toxoplasma gondii DHFR in presence of saturating levels of NADPH and DHFA";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1152608";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";""
"CHEMBL595497";"";"None";"324.38";"0";"3.57";"2";"CCCC(=Cc1coc2nc(=N)[nH]c(N)c12)c1ccccc1OC";"IC50";"'='";"11800.0";"nM";"4.93";"";"";"UO_0000065";"15.19";"0.28";"1.36";"4.88";"0";"CHEMBL1038908";"Inhibition of Toxoplasma gondii DHFR in presence of saturating levels of NADPH and DHFA";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1152608";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";""
"CHEMBL604879";"";"None";"338.41";"0";"3.96";"5";"CCCCC(=Cc1coc2nc(=N)[nH]c(N)c12)c1ccccc1OC";"IC50";"'='";"30300.0";"nM";"4.52";"";"";"UO_0000065";"13.35";"0.25";"0.56";"4.48";"0";"CHEMBL1038908";"Inhibition of Toxoplasma gondii DHFR in presence of saturating levels of NADPH and DHFA";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1152608";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";""
"CHEMBL291239";"";"None";"297.39";"0";"2.79";"13b";"Cc1c(CSc2ccccc2)cnc2nc(N)nc(N)c12";"IC50";"'='";"34.0";"nM";"7.47";"";"";"UO_0000065";"25.11";"0.49";"4.68";"8.23";"0";"CHEMBL665590";"Inhibitory activity against Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1129525";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL274278";"";"None";"324.17";"0";"3.31";"2";"Nc1nc(N)c2c(CNc3ccc(Cl)c(Cl)c3)coc2n1";"IC50";"'='";"89125.09";"nM";"4.05";"";"";"UO_0000065";"12.49";"0.26";"0.74";"3.93";"0";"CHEMBL1071424";"Inhibition of Toxoplasma gondii DHFR by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1156926";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL68673";"";"None";"284.32";"0";"1.74";"5";"COc1ccc(NCc2c[nH]c3nc(N)nc(N)c23)cc1";"IC50";"'='";"6025.6";"nM";"5.22";"";"";"UO_0000065";"18.36";"0.34";"3.48";"4.54";"1";"CHEMBL1071424";"Inhibition of Toxoplasma gondii DHFR by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1156926";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
