Descriptor,Importance,Descriptor Type,Description,Class
PubchemFP461,0.0093179311212038,SMARTS patterns,O-C-C=N,FP
PubchemFP755,0.0062999522454379,SMARTS patterns 2,Cc1c(C)cccc1,FP
maxsBr,0.0048373800852892,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: -Br,2D
nFG12HeteroRing,0.0039275677309804,RingCountDescriptor,"Number of >12-membered fused rings containing heteroatoms (N, O, P, S, or halogens)",2D
nFG12Ring,0.0038609151555618,RingCountDescriptor,Number of >12-membered fused rings,2D
PubchemFP193,0.0038607637859658,Chemical Rings,>= 3 saturated or aromatic carbon-only ring size 6,FP
PubchemFP494,0.0037634768156898,SMARTS patterns,O=C-C:N,FP
JGI7,0.0031616132310907,TopologicalChargeDescriptor,Mean topological charge index of order 7,2D
maxHBint6,0.0029327450465315,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 6,2D
PubchemFP737,0.002922320532267,SMARTS patterns 2,Cc1cc(N)ccc1,FP
E2m,0.0027310445245917,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / weighted by relative mass,3D
PubchemFP779,0.0026967888082232,SMARTS patterns 2,CC1CCC(N)CC1,FP
PubchemFP696,0.0026134841599914,SMARTS patterns,C-C-C-C-C-C-C-C,FP
AATSC8i,0.0024590957081735,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential,2D
nBr,0.002451451641307,AtomCountDescriptor,Number of bromine atoms,2D
PubchemFP759,0.0023031614578849,SMARTS patterns 2,Cc1c(Cl)cccc1,FP
RDF85p,0.0022735128946011,RDFDescriptor,Radial distribution function - 085 / weighted by relative polarizabilities,3D
GATS8i,0.0022541008044447,AutocorrelationDescriptor,Geary autocorrelation - lag 8 / weighted by first ionization potential,2D
ATSC8i,0.0022476301217536,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential,2D
RDF85v,0.0021300361877462,RDFDescriptor,Radial distribution function - 085 / weighted by relative van der Waals volumes,3D
RDF20m,0.0020853508661488,RDFDescriptor,Radial distribution function - 020 / weighted by relative mass,3D
TDB9e,0.0020541329815949,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 9 / weighted by Sanderson electronegativities,3D
PubchemFP750,0.0019284644886481,SMARTS patterns 2,Nc1cc(Cl)ccc1,FP
VE2_Dt,0.0019065073306239,DetourMatrixDescriptor,Average coefficient sum of the last eigenvector from detour matrix,2D
PubchemFP705,0.0018879017413051,SMARTS patterns,O=C-C-C-C-C(O)-C,FP
E2p,0.0018812483119586,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / weighted by relative polarizabilities,3D
BCUTw-1l,0.0018674103340643,BCUTDescriptor,nhigh lowest atom weighted BCUTS ,2D
ATSC8c,0.0018502087290492,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 8 / weighted by charges,2D
RDF95m,0.0017815185460441,RDFDescriptor,Radial distribution function - 095 / weighted by relative mass,3D
maxHdsCH,0.0017530174558467,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type H E-State: =CH-,2D
PubchemFP752,0.0017364681719451,SMARTS patterns 2,Clc1cc(Cl)ccc1,FP
SHBint6,0.0017298898689184,ElectrotopologicalStateAtomTypeDescriptor,Sum of E-State descriptors of strength for potential hydrogen bonds of path length 6,2D
Du,0.001664747148321,PaDELWHIMDescriptor,D total accessibility index / unweighted,3D
CIC3,0.0016336219445454,InformationContentDescriptor,Complementary information content index (neighborhood symmetry of 3-order),2D
GGI7,0.0015974168240186,TopologicalChargeDescriptor,Topological charge index of order 7,2D
RDF20i,0.001588593680484,RDFDescriptor,Radial distribution function - 020 / weighted by relative first ionization potential,3D
ALogp2,0.0015795806652436,,,
PubchemFP629,0.0015756748765266,SMARTS patterns,S-C:C:C-N,FP
ATSC2i,0.0015599391140203,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 2 / weighted by first ionization potential,2D
GATS6e,0.0015588325561535,AutocorrelationDescriptor,Geary autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
ATSC6e,0.0015386026220304,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
nHBint6,0.0015292308162416,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 6,2D
nHeteroRing,0.0014922169514356,RingCountDescriptor,"Number of rings containing heteroatoms (N, O, P, S, or halogens)",2D
nHBint8,0.0014835693033612,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 8,2D
RDF125m,0.0014712114610692,RDFDescriptor,Radial distribution function - 125 / weighted by relative mass,3D
PubchemFP258,0.001466866899294,Chemical Rings,>= 2 hetero-aromatic rings,FP
nHBAcc,0.0014630611016903,PaDELHBondAcceptorCountDescriptor,Number of hydrogen bond acceptors (using CDK HBondAcceptorCountDescriptor algorithm),2D
maxHBint9,0.0014573805719045,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 9,2D
PubchemFP656,0.0014573250637802,SMARTS patterns,C-C-N-C-C,FP
GATS2s,0.0014205249508663,AutocorrelationDescriptor,Geary autocorrelation - lag 2 / weighted by I-state,2D
RDF85e,0.0014117940867441,RDFDescriptor,Radial distribution function - 085 / weighted by relative Sanderson electronegativities,3D
RDF15v,0.0013976297152207,RDFDescriptor,Radial distribution function - 015 / weighted by relative van der Waals volumes,3D
minsssCH,0.0013931782759442,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: >CH-,2D
MPC5,0.0013928804547561,PathCountDescriptor,Molecular path count of order 5,2D
minsF,0.0013833575732143,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: -F,2D
PubchemFP797,0.001368946482643,SMARTS patterns 2,CC1CC(C)CCC1,FP
ETA_EtaP_B_RC,0.0013567010303258,ExtendedTopochemicalAtomDescriptor,Branching index EtaB (with ring correction) relative to molecular size,2D
RDF50m,0.0013548187229574,RDFDescriptor,Radial distribution function - 050 / weighted by relative mass,3D
maxdsCH,0.0013445023414819,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: =CH-,2D
SdsCH,0.0013444065170461,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: =CH-,2D
SpMin1_Bhv,0.0013308949580329,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative van der Waals volumes,2D
SHBint9,0.0013303468823099,ElectrotopologicalStateAtomTypeDescriptor,Sum of E-State descriptors of strength for potential hydrogen bonds of path length 9,2D
CIC4,0.0013278536925395,InformationContentDescriptor,Complementary information content index (neighborhood symmetry of 4-order),2D
TDB9i,0.0013203647771648,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 9 / weighted by first ionization potential,3D
ATSC2e,0.0013169477255886,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 2 / weighted by Sanderson electronegativities,2D
PubchemFP577,0.0013120337472854,SMARTS patterns,C:C-N-C:C,FP
PubchemFP703,0.0013090016659971,SMARTS patterns,O-C-C-C-C-C(N)-C,FP
BIC2,0.0013033126278092,InformationContentDescriptor,Bond information content index (neighborhood symmetry of 2-order),2D
RDF85i,0.0012908511464712,RDFDescriptor,Radial distribution function - 085 / weighted by relative first ionization potential,3D
PubchemFP702,0.0012762276817138,SMARTS patterns,O-C-C-C-C-C-N-C,FP
Dp,0.0012606812565924,PaDELWHIMDescriptor,D total accessibility index / weighted by relative polarizabilities,3D
SpMin8_Bhv,0.001253031915442,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative van der Waals volumes,2D
ATSC3v,0.0012480296259561,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes,2D
PubchemFP767,0.0012396851969922,SMARTS patterns 2,Sc1c(N)cccc1,FP
PubchemFP287,0.0012319201819469,Atom Pairs,C-F,FP
AATS8m,0.0012243621312448,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 8 / weighted by mass,2D
RDF35e,0.0012152705752193,RDFDescriptor,Radial distribution function - 035 / weighted by relative Sanderson electronegativities,3D
DPSA-1,0.0012124357315621,CPSADescriptor,Difference of PPSA-1 and PNSA-1,3D
E1v,0.0011941083786809,PaDELWHIMDescriptor,1st component accessibility directional WHIM index / weighted by relative van der Waals volumes,3D
AATS0m,0.0011923939982219,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 0 / weighted by mass,2D
PubchemFP440,0.0011831005300848,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C(-C)(-O)(=O),FP
AATSC7i,0.0011792910100394,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential,2D
minHdsCH,0.0011774265020657,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type H E-State: =CH-,2D
SsOm,0.0011627282889846,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: -O-,2D
ALogP,0.0011613672484306,ALOGPDescriptor,Ghose-Crippen LogKow,2D
RDF135p,0.0011524663609319,RDFDescriptor,Radial distribution function - 135 / weighted by relative polarizabilities,3D
BIC3,0.0011466165004874,InformationContentDescriptor,Bond information content index (neighborhood symmetry of 3-order),2D
VE3_Dt,0.0011371194924341,DetourMatrixDescriptor,Logarithmic coefficient sum of the last eigenvector from detour matrix,2D
ATSC2s,0.0011363574886881,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 2 / weighted by I-state,2D
maxsF,0.0011347796660303,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: -F,2D
RDF15s,0.0011292876825591,RDFDescriptor,Radial distribution function - 015 / weighted by relative I-state,3D
CIC2,0.0011232335328426,InformationContentDescriptor,Complementary information content index (neighborhood symmetry of 2-order),2D
PubchemFP534,0.0011083625445643,SMARTS patterns,S-C:C-O,FP
RDF85m,0.0011054038507084,RDFDescriptor,Radial distribution function - 085 / weighted by relative mass,3D
PubchemFP404,0.0010933477529956,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",N(:C)(:C)(:C),FP
SIC4,0.0010932382201885,InformationContentDescriptor,Structural information content index (neighborhood symmetry of 4-order),2D
RDF60e,0.0010818665219048,RDFDescriptor,Radial distribution function - 060 / weighted by relative Sanderson electronegativities,3D
PubchemFP489,0.0010694475348196,SMARTS patterns,N-C-S-C,FP
PubchemFP719,0.0010678668872697,SMARTS patterns 2,Oc1ccc(O)cc1,FP
RDF75s,0.0010661258049555,RDFDescriptor,Radial distribution function - 075 / weighted by relative I-state,3D
TDB8v,0.0010627760955126,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 8 / weighted by van der Waals volumes,3D
RDF70m,0.0010596413045813,RDFDescriptor,Radial distribution function - 070 / weighted by relative mass,3D
E1e,0.0010581064914733,PaDELWHIMDescriptor,1st component accessibility directional WHIM index / weighted by relative Sanderson electronegativities,3D
maxHBint3,0.0010530402528898,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 3,2D
Ds,0.0010485453278675,PaDELWHIMDescriptor,D total accessibility index / weighted by relative I-state,3D
mindsCH,0.0010485391091562,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: =CH-,2D
ATS0i,0.0010459035551683,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 0 / weighted by first ionization potential,2D
SpMin7_Bhs,0.0010429026097035,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative I-state,2D
RDF80u,0.0010417954753398,RDFDescriptor,Radial distribution function - 080 / unweighted,3D
ntsC,0.0010363069357617,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type E-State: #C-,2D
SP-6,0.0010341468544944,PaDELChiPathDescriptor,"Simple path, order 6",2D
CIC1,0.001033668796568,InformationContentDescriptor,Complementary information content index (neighborhood symmetry of 1-order),2D
SHBint8,0.0010312067537458,ElectrotopologicalStateAtomTypeDescriptor,Sum of E-State descriptors of strength for potential hydrogen bonds of path length 8,2D
SHAvin,0.0010300935448748,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type H E-State: H on C vinyl bonded to C aromatic,2D
SpMax3_Bhs,0.0010281914311245,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative I-state,2D
RDF20p,0.0010269115921062,RDFDescriptor,Radial distribution function - 020 / weighted by relative polarizabilities,3D
RDF85s,0.001026893090807,RDFDescriptor,Radial distribution function - 085 / weighted by relative I-state,3D
maxHBint5,0.001026253936303,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 5,2D
SpMax6_Bhi,0.0010234235664405,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative first ionization potential,2D
AATSC6e,0.0010196366216075,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
RDF70u,0.0010195923071801,RDFDescriptor,Radial distribution function - 070 / unweighted,3D
SsBr,0.0010092928767937,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: -Br,2D
ATS4i,0.0010078510812277,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 4 / weighted by first ionization potential,2D
PubchemFP397,0.0010001342596458,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",N(~C)(:C)(:C),FP
SpMin6_Bhp,0.0009983201261737,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative polarizabilities,2D
RDF35m,0.0009924525904344,RDFDescriptor,Radial distribution function - 035 / weighted by relative mass,3D
FNSA-1,0.000991939355513,CPSADescriptor,PNSA-1 / total molecular surface area,3D
PubchemFP445,0.0009836750708125,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C(-H)(-N)(=C),FP
TDB9s,0.0009814864500906,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 9 / weighted by I-state,3D
VR2_DzZ,0.0009802841756272,BaryszMatrixDescriptor,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by atomic number,2D
RDF90v,0.0009802527499619,RDFDescriptor,Radial distribution function - 090 / weighted by relative van der Waals volumes,3D
VPC-4,0.0009801681788168,ChiPathClusterDescriptor,"Valence path cluster, order 4",2D
ATSC6c,0.0009787666862,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 6 / weighted by charges,2D
PubchemFP633,0.0009739021658692,SMARTS patterns,N-C-C:C-C,FP
MATS1v,0.0009729585261888,AutocorrelationDescriptor,Moran autocorrelation - lag 1 / weighted by van der Waals volumes,2D
PubchemFP600,0.0009657386880999,SMARTS patterns,N-C:C:C-C,FP
RDF60u,0.0009646562466682,RDFDescriptor,Radial distribution function - 060 / unweighted,3D
RDF20e,0.0009637606679664,RDFDescriptor,Radial distribution function - 020 / weighted by relative Sanderson electronegativities,3D
MPC9,0.0009604565987871,PathCountDescriptor,Molecular path count of order 9,2D
VE1_Dt,0.0009604073125907,DetourMatrixDescriptor,Coefficient sum of the last eigenvector from detour matrix,2D
ATS7e,0.000951680768203,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 7 / weighted by Sanderson electronegativities,2D
PubchemFP419,0.0009486884301319,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C#N,FP
RDF25u,0.0009418434020143,RDFDescriptor,Radial distribution function - 025 / unweighted,3D
AATSC0m,0.0009416193850287,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 0 / weighted by mass,2D
RDF140m,0.0009414849583731,RDFDescriptor,Radial distribution function - 140 / weighted by relative mass,3D
SpDiam_DzZ,0.0009355009702908,BaryszMatrixDescriptor,Spectral diameter from Barysz matrix / weighted by atomic number,2D
L3m,0.0009320633414352,PaDELWHIMDescriptor,3rd component size directional WHIM index / weighted by relative mass,3D
SPC-6,0.0009315550123153,ChiPathClusterDescriptor,"Simple path cluster, order 6",2D
RDF20u,0.0009301614212643,RDFDescriptor,Radial distribution function - 020 / unweighted,3D
AATS3s,0.0009263062400323,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 3 / weighted by I-state,2D
maxHAvin,0.0009229976756649,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type H E-State: H on C vinyl bonded to C aromatic,2D
GATS1p,0.0009193372421062,AutocorrelationDescriptor,Geary autocorrelation - lag 1 / weighted by polarizabilities,2D
RDF90p,0.0009188803379128,RDFDescriptor,Radial distribution function - 090 / weighted by relative polarizabilities,3D
PubchemFP364,0.0009134619592946,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~F)(:C),FP
E2e,0.0009084583780857,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / weighted by relative Sanderson electronegativities,3D
E1i,0.0009076649261807,PaDELWHIMDescriptor,1st component accessibility directional WHIM index / weighted by relative first ionization potential,3D
JGI4,0.0009072420586441,TopologicalChargeDescriptor,Mean topological charge index of order 4,2D
PubchemFP618,0.0009049179144992,SMARTS patterns,C:C-C-C:C,FP
SIC3,0.0009046943940165,InformationContentDescriptor,Structural information content index (neighborhood symmetry of 3-order),2D
SpMin5_Bhi,0.0009016599372552,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative first ionization potential,2D
PubchemFP734,0.0009008639142998,SMARTS patterns 2,Cc1cc(C)ccc1,FP
SpMax_Dzi,0.0009000479010521,BaryszMatrixDescriptor,Leading eigenvalue from Barysz matrix / weighted by first ionization potential,2D
RDF130u,0.000899297450509,RDFDescriptor,Radial distribution function - 130 / unweighted,3D
TDB10s,0.0008987085707964,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 10 / weighted by I-state,3D
RDF150i,0.0008956202167348,RDFDescriptor,Radial distribution function - 150 / weighted by relative first ionization potential,3D
SpMin1_Bhp,0.0008954764747247,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative polarizabilities,2D
GATS7v,0.0008928420664346,AutocorrelationDescriptor,Geary autocorrelation - lag 7 / weighted by van der Waals volumes,2D
PubchemFP473,0.0008895856609654,SMARTS patterns,S-C:N:C,FP
RDF10e,0.0008862351514366,RDFDescriptor,Radial distribution function - 010 / weighted by relative Sanderson electronegativities,3D
PubchemFP34,0.0008858996444387,Element Counts,>= 2 S,FP
AATSC3v,0.0008834509633423,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes,2D
RDF75u,0.0008801981347689,RDFDescriptor,Radial distribution function - 075 / unweighted,3D
RDF75v,0.0008780859049099,RDFDescriptor,Radial distribution function - 075 / weighted by relative van der Waals volumes,3D
P1i,0.0008741504461543,PaDELWHIMDescriptor,1st component shape directional WHIM index / weighted by relative first ionization potential,3D
minHBint9,0.0008720329624795,ElectrotopologicalStateAtomTypeDescriptor,Minimum E-State descriptors of strength for potential Hydrogen Bonds of path length 9,2D
SpMin6_Bhe,0.0008714938865409,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative Sanderson electronegativities,2D
RDF140v,0.0008683743268757,RDFDescriptor,Radial distribution function - 140 / weighted by relative van der Waals volumes,3D
ATS0v,0.0008672868721982,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 0 / weighted by van der Waals volumes,2D
MATS7i,0.0008649083020423,AutocorrelationDescriptor,Moran autocorrelation - lag 7 / weighted by first ionization potential,2D
RDF105v,0.0008643152836767,RDFDescriptor,Radial distribution function - 105 / weighted by relative van der Waals volumes,3D
IC2,0.0008623782426114,InformationContentDescriptor,Information content index (neighborhood symmetry of 2-order),2D
ATSC8p,0.0008612949125101,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 8 / weighted by polarizabilities,2D
MATS3v,0.0008606599277704,AutocorrelationDescriptor,Moran autocorrelation - lag 3 / weighted by van der Waals volumes,2D
RDF115e,0.0008541812389312,RDFDescriptor,Radial distribution function - 115 / weighted by relative Sanderson electronegativities,3D
PubchemFP533,0.0008538101904537,SMARTS patterns,S-C:C-N,FP
AATSC2s,0.0008519175853728,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 2 / weighted by I-state,2D
SpMax7_Bhi,0.0008487157076523,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative first ionization potential,2D
GRAVH-3,0.0008470084453485,GravitationalIndexDescriptor,Cube root of hydrogen-included gravitational index ,3D
WNSA-1,0.0008460726288678,CPSADescriptor,PNSA-1 * total molecular surface area /1000,3D
MATS6e,0.000844109953868,AutocorrelationDescriptor,Moran autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
RDF95v,0.0008357067330869,RDFDescriptor,Radial distribution function - 095 / weighted by relative van der Waals volumes,3D
nHBDon,0.0008321484008064,PaDELHBondDonorCountDescriptor,Number of hydrogen bond donors (using CDK HBondDonorCountDescriptor algorithm),2D
GATS3v,0.00082928574898,AutocorrelationDescriptor,Geary autocorrelation - lag 3 / weighted by van der Waals volumes,2D
RDF15m,0.0008271690565107,RDFDescriptor,Radial distribution function - 015 / weighted by relative mass,3D
C2SP1,0.0008265917718671,PaDELCarbonTypesDescriptor,Triply bound carbon bound to two other carbons ,2D
PPSA-1,0.0008260289166184,CPSADescriptor,Partial positive surface area -- sum of surface area on positive parts of molecule,3D
VC-5,0.0008249579010315,ChiClusterDescriptor,"Valence cluster, order 5",2D
RDF125e,0.0008241785058861,RDFDescriptor,Radial distribution function - 125 / weighted by relative Sanderson electronegativities,3D
ETA_EtaP_B,0.000821640162937,ExtendedTopochemicalAtomDescriptor,Branching index EtaB relative to molecular size,2D
maxHBint8,0.0008209679741801,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 8,2D
RDF60p,0.0008198681260185,RDFDescriptor,Radial distribution function - 060 / weighted by relative polarizabilities,3D
PubchemFP417,0.0008195587516928,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C#C,FP
PubchemFP386,0.0008157922878182,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(:C)(:C)(:N),FP
RDF125i,0.0008137974217308,RDFDescriptor,Radial distribution function - 125 / weighted by relative first ionization potential,3D
MATS7c,0.0008136411694871,AutocorrelationDescriptor,Moran autocorrelation - lag 7 / weighted by charges,2D
RDF75e,0.0008093567210644,RDFDescriptor,Radial distribution function - 075 / weighted by relative Sanderson electronegativities,3D
GATS2m,0.0008064808360294,AutocorrelationDescriptor,Geary autocorrelation - lag 2 / weighted by mass,2D
RDF150p,0.0008048991511042,RDFDescriptor,Radial distribution function - 150 / weighted by relative polarizabilities,3D
PubchemFP704,0.0008038978965276,SMARTS patterns,O=C-C-C-C-C-C-C,FP
RDF65m,0.0008029600774703,RDFDescriptor,Radial distribution function - 065 / weighted by relative mass,3D
minHBint5,0.0007985550240719,ElectrotopologicalStateAtomTypeDescriptor,Minimum E-State descriptors of strength for potential Hydrogen Bonds of path length 5,2D
Kier1,0.0007985491228816,KappaShapeIndicesDescriptor,First kappa shape index ,2D
RDF75p,0.0007983318833523,RDFDescriptor,Radial distribution function - 075 / weighted by relative polarizabilities,3D
PubchemFP345,0.0007976732405418,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~C)(~H)(~N),FP
RDF135s,0.0007976703588174,RDFDescriptor,Radial distribution function - 135 / weighted by relative I-state,3D
RDF40v,0.0007925727464874,RDFDescriptor,Radial distribution function - 040 / weighted by relative van der Waals volumes,3D
SpMin6_Bhs,0.0007919188526762,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative I-state,2D
AATSC1v,0.0007914709972057,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes,2D
nFRing,0.0007901753048992,RingCountDescriptor,Number of fused rings,2D
VC-6,0.0007874113312872,ChiClusterDescriptor,"Valence cluster, order 6",2D
MATS8e,0.000786850211219,AutocorrelationDescriptor,Moran autocorrelation - lag 8 / weighted by Sanderson electronegativities,2D
RDF35u,0.0007827201568831,RDFDescriptor,Radial distribution function - 035 / unweighted,3D
ATSC7i,0.0007825421928634,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential,2D
minsOH,0.0007820846378719,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: -OH,2D
nN,0.0007812022851629,AtomCountDescriptor,Number of nitrogen atoms,2D
ATSC1m,0.0007808896978405,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 1 / weighted by mass,2D
AATSC7s,0.0007805668436364,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 7 / weighted by I-state,2D
SpAbs_Dze,0.0007789201208412,BaryszMatrixDescriptor,Graph energy from Barysz matrix / weighted by Sanderson electronegativities,2D
VR1_Dt,0.0007785145953832,DetourMatrixDescriptor,Randic-like eigenvector-based index from detour matrix,2D
SpMin5_Bhe,0.0007753596395128,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative Sanderson electronegativities,2D
E1u,0.0007738020603606,PaDELWHIMDescriptor,1st component accessibility directional WHIM index / unweighted,3D
RDF35s,0.0007669388374014,RDFDescriptor,Radial distribution function - 035 / weighted by relative I-state,3D
RDF20v,0.0007657805551996,RDFDescriptor,Radial distribution function - 020 / weighted by relative van der Waals volumes,3D
SpMax5_Bhi,0.0007655484455794,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative first ionization potential,2D
nF,0.0007643696493219,AtomCountDescriptor,Number of fluorine atoms,2D
MIC1,0.0007608440563442,InformationContentDescriptor,Modified information content index (neighborhood symmetry of 1-order),2D
MATS7s,0.0007573048763928,AutocorrelationDescriptor,Moran autocorrelation - lag 7 / weighted by I-state,2D
minHBint3,0.0007561572065341,ElectrotopologicalStateAtomTypeDescriptor,Minimum E-State descriptors of strength for potential Hydrogen Bonds of path length 3,2D
RDF15u,0.0007551610792909,RDFDescriptor,Radial distribution function - 015 / unweighted,3D
RDF40e,0.0007551088127204,RDFDescriptor,Radial distribution function - 040 / weighted by relative Sanderson electronegativities,3D
TDB3e,0.0007536214574125,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 3 / weighted by Sanderson electronegativities,3D
SpMin4_Bhi,0.0007533379003492,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative first ionization potential,2D
AATSC3e,0.0007525795421568,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 3 / weighted by Sanderson electronegativities,2D
AATSC4s,0.0007478134502114,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 4 / weighted by I-state,2D
PubchemFP726,0.0007475965921218,SMARTS patterns 2,Sc1ccc(Cl)cc1,FP
hmax,0.0007475659185961,ElectrotopologicalStateAtomTypeDescriptor,Maximum H E-State,2D
PubchemFP388,0.000747448903999,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(:C)(:N)(:N),FP
