Descriptor,Importance,Descriptor Type,Description,Class
nHBint5,-3.974404561312151e-05,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 5,2D
GATS5v,-4.1287998683370295e-05,AutocorrelationDescriptor,Geary autocorrelation - lag 5 / weighted by van der Waals volumes,2D
TIC0,-4.16073137210482e-05,InformationContentDescriptor,Total information content index (neighborhood symmetry of 0-order),2D
ATSC1s,-4.225792211597357e-05,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 1 / weighted by I-state,2D
IC5,-4.282133610871153e-05,InformationContentDescriptor,Information content index (neighborhood symmetry of 5-order),2D
RDF115u,-4.284472808853135e-05,RDFDescriptor,Radial distribution function - 115 / unweighted,3D
AATS4s,-4.390151173553347e-05,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 4 / weighted by I-state,2D
ATS3p,-4.412215975075906e-05,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 3 / weighted by polarizabilities,2D
GATS6i,-4.439473541865135e-05,AutocorrelationDescriptor,Geary autocorrelation - lag 6 / weighted by first ionization potential,2D
AVP-3,-4.44655086314083e-05,PaDELChiPathDescriptor,"Average valence path, order 3",2D
ndssC,-4.512981732247567e-05,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type E-State: =C<,2D
VE1_Dze,-4.527484981110552e-05,BaryszMatrixDescriptor,Coefficient sum of the last eigenvector from Barysz matrix / weighted by Sanderson electronegativities,2D
VAdjMat,-4.575611005835922e-05,,,
VR1_Dzv,-4.589986302889759e-05,BaryszMatrixDescriptor,Randic-like eigenvector-based index from Barysz matrix / weighted by van der Waals volumes,2D
GATS4e,-4.617287381711854e-05,AutocorrelationDescriptor,Geary autocorrelation - lag 4 / weighted by Sanderson electronegativities,2D
nH,-4.687366945920202e-05,AtomCountDescriptor,Number of hydrogen atoms,2D
Ke,-4.7453950991593885e-05,PaDELWHIMDescriptor,K global shape index / weighted by relative Sanderson electronegativities,3D
PubchemFP528,-4.770776973268553e-05,SMARTS patterns,[#1]-N-C-[#1],FP
L3u,-4.778181755772381e-05,PaDELWHIMDescriptor,3rd component size directional WHIM index / unweighted,3D
E2i,-4.807773993626973e-05,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / weighted by relative first ionization potential,3D
minaaCH,-4.935716211714736e-05,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: :CH:,2D
SpDiam_Dze,-5.1518820991691694e-05,BaryszMatrixDescriptor,Spectral diameter from Barysz matrix / weighted by Sanderson electronegativities,2D
maxaaaC,-5.183842744991285e-05,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: ::C:,2D
TDB10e,-5.239226968887234e-05,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 10 / weighted by Sanderson electronegativities,3D
TDB10r,-5.289495177465131e-05,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 10 / weighted by covalent radius,3D
AATS7p,-5.337875740163423e-05,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 7 / weighted by polarizabilities,2D
ATS6s,-5.392543888158574e-05,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 6 / weighted by I-state,2D
RDF90u,-5.431663876334092e-05,RDFDescriptor,Radial distribution function - 090 / unweighted,3D
RDF115p,-5.523702794171248e-05,RDFDescriptor,Radial distribution function - 115 / weighted by relative polarizabilities,3D
MOMI-Y,-5.590131026751432e-05,MomentOfInertiaDescriptor,Moment of inertia along Y axis ,3D
GATS8p,-5.678103209099117e-05,AutocorrelationDescriptor,Geary autocorrelation - lag 8 / weighted by polarizabilities,2D
C3SP3,-5.9496793782498615e-05,PaDELCarbonTypesDescriptor,Singly bound carbon bound to three other carbons ,2D
SpDiam_Dzp,-5.981752105366223e-05,BaryszMatrixDescriptor,Spectral diameter from Barysz matrix / weighted by polarizabilities,2D
PubchemFP206,-5.998703767564617e-05,Chemical Rings,>= 5 any ring size 6,FP
RDF95s,-6.215266151414767e-05,RDFDescriptor,Radial distribution function - 095 / weighted by relative I-state,3D
P1m,-6.287061078276146e-05,PaDELWHIMDescriptor,1st component shape directional WHIM index / weighted by relative mass,3D
PubchemFP751,-6.621741854642149e-05,SMARTS patterns 2,Nc1cc(Br)ccc1,FP
ATS3m,-6.684965027151658e-05,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 3 / weighted by mass,2D
GRAV-3,-6.706155768985145e-05,GravitationalIndexDescriptor,Cube root of gravitational index of heavy atoms ,3D
PubchemFP372,-6.845041078969993e-05,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~H)(:C)(:N),FP
