y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test_val,Relative_Error_%
5.501583,5.065349,5.2260356,5.325561,4.9363575,5.2109776,5.2441251443275085,-0.6320899882047004
5.393691,5.802826,5.3156285,5.4189644,5.252897,5.4368014,5.853871964321762,-7.124695130001051
6.300168,6.3142653,6.646562,5.831768,6.388542,6.2962613,5.995678626217358,5.0133221458147235
6.5080147,7.3202477,6.5860515,6.69255,6.9574,6.8128533,6.372634143407267,6.907962751672869
5.5043736,5.424613,5.5033045,5.521175,5.2686434,5.4444222,5.455931955649724,-0.21095773769999154
4.612932,4.754586,4.4301925,4.329253,4.2827835,4.48195,4.468521082957745,0.30051829243570904
6.298749,6.294626,6.133244,5.982163,6.01601,6.1449585,6.43356250780493,-4.485912919336021
4.8863726,5.019496,5.2418838,5.422254,5.065181,5.127038,5.795880017344075,-11.539956198686243
5.318235,5.2824554,5.530397,5.4323,5.4127088,5.3952193,6.657577319177793,-18.961221667259686
7.9284678,7.9052205,7.925874,8.020165,8.038256,7.9635973,7.638272163982407,4.259145611753556
4.406513,4.6660714,4.526341,4.639538,4.687527,4.585198,3.612610173661271,26.922023278273283
7.7899776,7.8266335,7.9226465,7.4623246,7.8361483,7.767546,7.494850021680094,3.638447126246528
8.211043,7.7693267,7.8949485,8.137379,7.7956266,7.9616647,8.113509274827518,-1.871503353454735
5.0672035,4.9338574,4.9527783,5.0533524,4.8653903,4.9745164,4.518557371497695,10.090809583000285
7.752164,7.708727,7.782905,7.702871,7.5924106,7.7078156,8.267606240177031,-6.770890833327837
8.003964,8.000329,7.9379716,8.314568,7.9947815,8.050323,7.5376020021010435,6.802170377393879
8.154078,8.216968,8.121964,8.13389,8.023681,8.130116,8.00436480540245,1.5710385566159546
5.7589417,5.1297107,5.5570827,5.3500485,5.944361,5.548029,4.823908740944319,15.011067660388214
5.6434164,5.342889,5.569702,5.4180255,5.5850267,5.5118117,5.866461091629782,-6.045371354971454
5.5037875,5.4745107,5.706669,6.019795,5.666801,5.6743126,5.677780705,-0.06108220143499904
7.5730195,7.4166555,7.448624,7.450323,7.366283,7.450981,7.823908740944319,-4.766512662091568
7.4744925,7.727746,7.699311,7.9134455,7.490151,7.661029,7.397940008672037,3.5562447521752847
7.316186,7.470479,7.6180563,6.9575086,7.4443765,7.3613214,7.337242168318426,0.3281789044026885
8.014478,8.000252,7.951272,7.893654,8.008652,7.973661,8.058654233773062,-1.0546833927249186
7.3359256,7.1306477,7.4757156,7.393026,7.365391,7.3401413,6.958607314841775,5.482907200858761
8.556828,8.815155,8.327051,8.3592005,8.500347,8.511717,8.638272163982407,-1.4650536464770907
5.161396,4.8050485,4.8702826,4.7190123,4.901195,4.891387,5.244125144,-6.726348981674707
7.412388,7.5889883,7.752049,7.8399134,7.627409,7.64415,7.823908740944319,-2.297559527121796
4.643771,4.867118,4.960522,4.905851,4.8694463,4.8493414,4.838631998,0.2213310398789604
6.9374313,6.6793656,6.614631,6.3556037,6.443376,6.6060815,5.958607314841775,10.866199712368687
6.777039,6.6307745,7.0288134,6.925079,7.140765,6.9004946,7.122340755888391,-3.114793127589295
4.9622207,4.999879,4.9470224,4.8699145,5.188806,4.9935684,5.0,-0.128631591796875
5.0838423,5.0081654,4.95056,5.0426326,5.122663,5.041573,4.663540266151471,8.106133107293518
6.997322,6.989517,6.6938834,6.592795,7.015263,6.857756,7.886056647693163,-13.039476582330437
6.131968,6.332368,5.9638724,5.7606187,5.8012023,5.998006,6.136677139879544,-2.2597127030520547
6.71622,6.7267213,6.67013,6.365506,6.7634306,6.6484017,6.958607314841775,-4.457868702649926
4.9184647,5.411435,5.293099,5.219502,5.3123355,5.2309675,5.301029995663981,-1.3216766185780675
8.1603365,8.266714,8.282869,8.4690895,8.314699,8.298741,8.0,3.734266757965088
8.633531,8.922319,8.356039,8.316645,8.654882,8.576683,8.721246399047171,-1.6575997053514215
8.032803,7.8583593,7.8935175,8.080712,7.8299003,7.939058,7.397940008672037,7.314439123451963
5.1982183,5.0446334,5.197811,5.2457323,5.2157984,5.180438,4.698970004336019,10.246246239212292
5.4413443,4.991977,5.0242333,5.1435947,4.951396,5.110509,4.603800652904264,11.006303358037261
4.8601437,5.0741363,5.0593963,4.9373035,5.2141566,5.0290275,4.7447274948966935,5.9919134958689915
6.3409452,6.5789165,6.9615345,6.3053975,6.0735445,6.4520674,7.119186407719209,-9.370720112241445
5.6042757,5.9258323,5.6374106,5.7120285,5.288356,5.6335807,6.180456064458132,-8.848463189329596
5.3987694,5.1499095,5.2999544,5.0140376,5.295024,5.2315392,5.732828271596986,-8.744183471541122
7.671067,7.6382017,7.8174243,7.635695,7.6307397,7.6786256,7.744727494896693,-0.8535085487716408
5.0244045,5.073846,5.272616,5.109551,5.090597,5.114203,5.795880017344075,-11.761407052550451
