y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test_val,Relative_Error_%
5.0777125,5.146285,5.3240623,4.9850793,5.22419,5.1514654,5.2441251443275085,-1.7669244311064418
5.7097793,5.4003696,5.621474,5.987589,5.4086313,5.6255684,5.853871964321762,-3.9000438653364924
5.454774,6.135907,6.0892844,6.07441,6.158813,5.982638,5.995678626217358,-0.21750238459527194
6.524003,6.976379,6.884429,6.6214275,7.0331593,6.8078794,6.372634143407267,6.82991200710969
5.6263304,5.452322,5.6426105,5.7481027,5.424643,5.5788016,5.455931955649724,2.2520382819388343
4.3822975,4.3154106,4.2005997,4.2257466,4.9414916,4.4131093,4.468521082957745,-1.240047420797112
6.3673525,6.249295,5.922707,6.4256964,5.9393644,6.180883,6.43356250780493,-3.927521909405159
5.423197,5.3142424,5.0913916,5.3039045,5.323861,5.2913194,5.795880017344075,-8.7055053859709
5.5716534,5.19172,5.683979,5.4511685,5.408092,5.461323,6.657577319177793,-17.96831606158052
7.5660315,7.972127,8.164825,7.9557667,7.8794746,7.9076447,7.638272163982407,3.5266167389994254
4.391124,4.383366,4.14598,4.4310937,4.4012427,4.3505616,3.612610173661271,20.427098681277574
7.6777973,7.6915517,8.015627,7.9575915,7.876375,7.843788,7.494850021680094,4.655705241375094
8.332339,8.032763,7.771903,7.854902,7.7012916,7.9386396,8.113509274827518,-2.1552897531275668
4.8170776,4.884493,5.1738887,5.0125747,4.9596386,4.969535,4.518557371497695,9.98056382573336
8.134099,7.7326746,7.861063,7.7493405,7.944275,7.88429,8.267606240177031,-4.6363604009224275
7.870167,8.028424,7.867202,7.9046817,7.946556,7.923406,7.5376020021010435,5.118393381693635
8.092174,8.104706,8.140167,8.297371,8.2987995,8.186644,8.00436480540245,2.2772424732364884
5.5815306,5.2251053,5.8288317,5.6821647,5.458744,5.5552754,4.823908740944319,15.161288045606247
5.6689787,5.304539,5.5769587,5.3319845,5.41054,5.4586,5.866461091629782,-6.9524205651210504
4.9379954,5.713971,5.5203795,5.1733656,5.661402,5.4014225,5.677780705,-4.8673631256360474
7.203825,7.301192,7.699047,7.542478,7.4917846,7.447665,7.823908740944319,-4.808894618578248
7.35933,7.453382,7.908745,7.710185,7.676592,7.621646,7.397940008672037,3.023894739548163
7.6316752,7.6639347,7.77621,7.8146944,7.720212,7.721345,7.337242168318426,5.234974813221214
7.9128036,7.9387712,8.097198,8.114212,7.998992,8.012396,8.058654233773062,-0.5740210916923209
7.197331,7.0171285,7.1462326,7.2602944,7.2063465,7.1654663,6.958607314841775,2.9727068131977057
8.605363,8.306216,8.230754,8.370818,8.526238,8.407878,8.638272163982407,-2.6671333983309617
4.852353,5.0254354,4.8996096,4.8608475,5.0266566,4.9329805,5.244125144,-5.933203309258195
7.6195564,8.006786,7.9098015,7.8209195,7.6174474,7.794902,7.823908740944319,-0.3707468231724563
5.01995,4.653323,4.7588797,5.003579,4.768451,4.8408365,4.838631998,0.04556095533385888
6.033966,6.206521,6.942213,6.5807633,6.363054,6.4253035,5.958607314841775,7.832302410048958
6.9792786,6.6352296,7.0067883,7.048597,7.3962154,7.0132217,7.122340755888391,-1.5320667587481123
4.825643,4.8418226,5.378298,5.295257,5.0759234,5.083389,5.0,1.6677761077880862
4.8763204,5.025327,5.1644373,5.0365424,5.338294,5.0881844,4.663540266151471,9.105616469532803
6.8356915,6.7075872,6.5813804,6.6480184,6.7154737,6.6976304,7.886056647693163,-15.069968367711095
6.2920103,5.978674,6.0961385,6.3509283,6.0057416,6.144698,6.136677139879544,0.13070596583454006
6.520402,6.1328373,6.4894238,6.5759473,6.492924,6.4423065,6.958607314841775,-7.419599539492435
5.098145,5.248153,5.324569,4.8072634,5.220209,5.139668,5.301029995663981,-3.0439746232804232
7.9519796,8.08171,8.09509,8.141518,8.168929,8.087846,8.0,1.0980725288391113
